Process,Average,"Last value"
java,"8.65%","8.90%"
"Suricata-Main","4.12%","3.30%"
node,"1.81%","1.90%"
agentbeat,"0.64%","0.70%"
"elastic-agent","0.49%","0.40%"
nmap,"0.16%","0.20%"
NetworkManager,"0.10%","0.10%"
cloudflared,"0.10%","0.10%"
"brcmf_wdog/mmc1:0001:1","0.00%","0.00%"
"irq/167-mmc1","0.00%","0.00%"
Other,"0.00%","0.00%"
